日期,关键词,标题,正文摘要,点赞,收藏,评论,分享,类型,作者,封面图URL,标签,笔记ID,xsec_token,链接
2026-06-07,TEF Canada/TCF备考,TCF Canada｜掏心窝子零基础到B2经验分享,上一篇笔记很多朋友想看我的法语学习经验，这几天写了一篇，请看图2至图5。 先介绍一下我的背景：大约10年前美国留学，托福,761,1202,53,156,图文,Xueyunnn,https://sns-na-i11.xhscdn.com/notes_uhdr/1040g3qg3213v0pn27o004a05fn3gkq1dgvc2q48?imageView2/2/w/1440/format/webp&ap=5&sc=SRH_DTL&sign=2a823b65cc4869b8c20d8b709715728c&t=6aa5462c,,6a252525000000001702eed5,YBj5mnhXd6vYo5-5NONW4mh8V1HK8ZQljUbeQLkvp6OLc=,https://www.xiaohongshu.com/explore/6a252525000000001702eed5?xsec_token=YBj5mnhXd6vYo5-5NONW4mh8V1HK8ZQljUbeQLkvp6OLc=&xsec_source=app_note
2026-07-21,TEF Canada/TCF备考,零基础一年时间攻克TCF Canada 全过程记录,如果你不知道怎么开始，或者卡在某个阶段不知道怎么继续，希望我的记录对你有帮助。原文很长，下载需要时间。#TCFCANAD,770,1005,121,166,图文,劳科蓝Cozyblue,https://sns-na-i11.xhscdn.com/spectrum/1040g34o322svasts6u0g5n7346u4f21vcq4n3mo?imageView2/2/w/1440/format/webp&ap=5&sc=SRH_DTL&sign=57640a7fbe4fd983496b8e993bcaad30&t=6aa5462c,,6a5f8624000000000c016070,YBGDeQtXSrVm9L-t2ncHWI10tJbhZtU-zim0y6DjNQ1b8=,https://www.xiaohongshu.com/explore/6a5f8624000000000c016070?xsec_token=YBGDeQtXSrVm9L-t2ncHWI10tJbhZtU-zim0y6DjNQ1b8=&xsec_source=app_note
2026-04-22,TEF Canada/TCF备考/法语移民,🇨🇦经验贴|从0到法语clb7，9个月备考经历,#Tcfcanada  #法语  #备考经验  #法语移民加拿大  #tcfca  #EE法语通道,611,991,23,131,图文,麦麦,https://sns-na-i11.xhscdn.com/notes_pre_post/1040g3k831v94k2o21m0g5o5d01j09fr8bgn1bf0?imageView2/2/w/1440/format/webp&ap=5&sc=SRH_DTL&sign=70ce5c09d3674a44ac06f0cf89de5b3e&t=6aa5462c,,69e8e909000000001d01afeb,YBiYZgbf1xT3pI5i7FfRpaKq_4r191pPLLoElYmdJL0n4=,https://www.xiaohongshu.com/explore/69e8e909000000001d01afeb?xsec_token=YBiYZgbf1xT3pI5i7FfRpaKq_4r191pPLLoElYmdJL0n4=&xsec_source=app_note
2026-07-15,法语移民,法语零基础到clb7,从小县城到新西兰whv再到加拿大pr。 我走了四年。 终于有时间整理这些了。 因为之前也是从网上很多资源获益很多，所以也,740,820,77,106,图文,丧失的一切必将回返,https://sns-na-i11.xhscdn.com/notes_pre_post/1040g3k0322kke7hgno6g5ns59q809cs8vs82st0?imageView2/2/w/1440/format/webp&ap=5&sc=SRH_DTL&sign=5de4f2a5543f317e15568de0d89b720a&t=6aa5466a,,6a56fc940000000015026017,YB2PjgTdJbzjve0B4iiFnOKWnlyWX8lAUe7Vfo0jxN4fY=,https://www.xiaohongshu.com/explore/6a56fc940000000015026017?xsec_token=YB2PjgTdJbzjve0B4iiFnOKWnlyWX8lAUe7Vfo0jxN4fY=&xsec_source=app_note
2025-04-21,TEF Canada,TCF Canada 和 TEF Canada 的选择建议,首先说结论，除非你是法语大神，否则无论你的目标是CLB7还是CLB9，都应该无脑选择TCF Canada。如果你是模版党,516,750,25,178,图文,Culala在加拿大,https://sns-na-i11.xhscdn.com/1040g00831ggu5q5sj4005ore2rqnqubmmrofb28?imageView2/2/w/1440/format/webp&ap=5&sc=SRH_DTL&sign=5b4c6cfc3779999bda83ed02b9778f90&t=6aa5462c,,68055fc0000000001c02bd5a,YBEzXLyYXVFAFPOr-2klFw-1BTJVSvF_vwA3wV7Wa7BVI=,https://www.xiaohongshu.com/explore/68055fc0000000001c02bd5a?xsec_token=YBEzXLyYXVFAFPOr-2klFw-1BTJVSvF_vwA3wV7Wa7BVI=&xsec_source=app_note
2026-08-25,法语移民,🇨🇦挑战法语ee全网最短登陆期限,今天终于拿回护照了。双人申请，材料简单 完整时间线: 2025.8-2025.11 脱产备考雅思和tcf (以下为加拿大,824,560,126,198,图文,鹈鹕镇紫色内裤批发李姐的闺,https://sns-na-i11.xhscdn.com/1040g2sg3249l63s5gadg5nv0h0t0bkvunlodvvo?imageView2/2/w/1440/format/webp&ap=5&sc=SRH_DTL&sign=58ba406c5740c7c104388eda95121943&t=6aa5466a,,6a8d4b4f000000002802c836,YBuXzMnQWrmdg2YwcHbnkgfVdYSD6tsQz9l8kQaludLX8=,https://www.xiaohongshu.com/explore/6a8d4b4f000000002802c836?xsec_token=YBuXzMnQWrmdg2YwcHbnkgfVdYSD6tsQz9l8kQaludLX8=&xsec_source=app_note
2026-08-01,TCF备考,半年 0基础考出TCF B2（上）,说在开头 本篇适用于想半年快速拿到tcf B2考试成绩的人群 不适用于想能短期实际生活应用程度达到B2的人群 ▪️本人背,559,680,20,84,图文,ecchoo,https://sns-na-i11.xhscdn.com/notes_pre_post/1040g3k8323adtn95n2b04a6q870l9p663gqilcg?imageView2/2/w/1440/format/webp&ap=5&sc=SRH_DTL&sign=7e2fe5669597e177c83289628d415519&t=6aa54648,,6a6d50e1000000002201123c,YBOfSDSOJMBnuMpZs0-N5a8jc9B5qBM9F9D9XeI2vEGqQ=,https://www.xiaohongshu.com/explore/6a6d50e1000000002201123c?xsec_token=YBOfSDSOJMBnuMpZs0-N5a8jc9B5qBM9F9D9XeI2vEGqQ=&xsec_source=app_note
2026-09-01,法语移民,去年清空加拿大回国，今年拿着PR又回来了,去年离开加拿大的时候，我是真的觉得： 好了，这下应该很久都不会回来了。 工签到期，开始卖家具、出闲置、收拾行李。 那段时,1106,364,241,236,图文,一朵风中摇曳的泡面头,https://sns-na-i11.xhscdn.com/oss-ae/notes_pre_post/1040g3v8324j1cgidjo005nldgjbg8f5kb3b0350?imageView2/2/w/1440/format/webp&ap=5&sc=SRH_DTL&sign=d306c9bba94a49c75cb32a914f448d63&t=6aa5466a,,6a96e54b000000000e03c800,YB1fAgcaFxkW-1EWMcC1icfwfHDDtae5df5uEAvOaeXRE=,https://www.xiaohongshu.com/explore/6a96e54b000000000e03c800?xsec_token=YB1fAgcaFxkW-1EWMcC1icfwfHDDtae5df5uEAvOaeXRE=&xsec_source=app_note
2026-04-05,TCF Canada,TCF Canda口语Part2模拟｜租房怎么问？,给大家带来一个TCF CANADA口语模拟训练， 主题是：“租房” - 也是一个日常化且常用的对话， 希望给大家启发和帮,976,384,31,86,视频,法兰西教育workshop,https://sns-na-i11.xhscdn.com/spectrum/1040g0k031ui748tf2s005pgmgu80ubndvtbfp8g?imageView2/2/w/1440/format/webp&ap=5&sc=SRH_DTL&sign=64893fa4e25435215a63898382b04e94&t=6aa54543,,69d17060000000002200caa6,YBmTWjkzEd3UJkhrGHlTlxTmjdG-NHVQ6mc_0iKxdw_RU=,https://www.xiaohongshu.com/explore/69d17060000000002200caa6?xsec_token=YBmTWjkzEd3UJkhrGHlTlxTmjdG-NHVQ6mc_0iKxdw_RU=&xsec_source=app_note
2026-05-20,TCF备考,TCF CA快速刷题方法，实战听、阅精准控分C1,在刚开始刷选择的时候，看到前人分享可以在2周内听、阅刷完2遍，觉得不可思议，因为自己实际操作发现即使只看正确选项，也有很,387,668,93,167,图文,emmmenn,https://sns-na-i11.xhscdn.com/spectrum/1040g34o320pukfvmlc3g5n870u34nnr43oeicq0?imageView2/2/w/1440/format/webp&ap=5&sc=SRH_DTL&sign=f3bb740f4d4dd03869c8791117d6dd35&t=6aa54648,,6a0d8e2a00000000060376e0,YBCcdgNw2ThCNcLo1CyWAZeup3l7d3UQNlEm-7_FPc6Mc=,https://www.xiaohongshu.com/explore/6a0d8e2a00000000060376e0?xsec_token=YBCcdgNw2ThCNcLo1CyWAZeup3l7d3UQNlEm-7_FPc6Mc=&xsec_source=app_note
2026-04-07,法语移民,个人认为目前ym最稳的方式,1️⃣荷兰：我自己拿的荷兰护照，感觉这个确实是最简单的。 荷兰属于“先工作、再身份”的典型国家。 通过合法工作居留（如高,615,497,25,86,图文,Robin,https://sns-na-i11.xhscdn.com/notes_pre_post/1040g3k031qfkoj4q0a6g5poh0sp7c2naugnl1uo?imageView2/2/w/1440/format/webp&ap=5&sc=SRH_DTL&sign=acb62038a3e29e77bcd984bcfcbb2644&t=6aa5466a,,69d4ddac000000002003a9de,YB-e_bkly68yBQ04zFoKE2ieW-eN2v3c59kpXk8v0H2Qk=,https://www.xiaohongshu.com/explore/69d4ddac000000002003a9de?xsec_token=YB-e_bkly68yBQ04zFoKE2ieW-eN2v3c59kpXk8v0H2Qk=&xsec_source=app_note
2026-04-12,法语移民,加拿大EE大改的最新消息,这几天各种EE大改的草案截图满天飞，但来源都不太靠谱，猫哥一直没拿来讨论。cic news出了一篇详细报道，可以来讲讲了,626,364,140,344,图文,猫哥教你说法语,https://sns-na-i11.xhscdn.com/notes_pre_post/1040g3k031uriflqc2s005pk36mnhot2dmmc7aug?imageView2/2/w/1440/format/webp&ap=5&sc=SRH_DTL&sign=50e7b183666d7128518408de3ea1755b&t=6aa5466a,,69db09e7000000002200f305,YBulMrLX6ZRzyQkkl8E8Dqvs6Q4IN_zOkqgW1nCggwEOQ=,https://www.xiaohongshu.com/explore/69db09e7000000002200f305?xsec_token=YBulMrLX6ZRzyQkkl8E8Dqvs6Q4IN_zOkqgW1nCggwEOQ=&xsec_source=app_note
2026-05-13,法语移民,谁懂啊❗️历时1年终于拿到这张卡！附时间线～,终于 终于 终于！！！！！ 作为🇨🇦EE法语通道 境外干捞 这一年来 披荆斩棘 太不容易啦[皱眉R][皱眉R] 拿到,525,332,125,102,图文,小雨走天下,https://sns-na-i11.xhscdn.com/notes_pre_post/1040g3k03203cnt442s004a362ivjf18i1r5o0qg?imageView2/2/w/1440/format/webp&ap=5&sc=SRH_DTL&sign=21f2ae9ca5907bda23cf2bc4d4f4d715&t=6aa5466a,,6a03cacc000000003503ab53,YBMphcbUoYCnf8nHWQLblmzXSkQ8ubcMIsAQ6JGaKmdfc=,https://www.xiaohongshu.com/explore/6a03cacc000000003503ab53?xsec_token=YBMphcbUoYCnf8nHWQLblmzXSkQ8ubcMIsAQ6JGaKmdfc=&xsec_source=app_note
2026-09-07,法语移民,学法语，送pr，真的是真的 2,24年中秋，40岁生日前夕，我收到了ircc大信封。大龄零基础，走的法语通道。 因为那篇帖子，很多人开始关注我。各种咨询,480,339,58,91,图文,中年自救计划,https://sns-na-i11.xhscdn.com/spectrum/1040g0k0324r62qss1s005nd8ejfg86o3n8hdst0?imageView2/2/w/1440/format/webp&ap=5&sc=SRH_DTL&sign=c3d45c8937279f0d556c5c84120e2efc&t=6aa5466a,,6a9e3f450000000012035730,YBRP8n8B9Mr2tpwMCQr7g62wvdIdcHtZYHJNZYZ0kA2hM=,https://www.xiaohongshu.com/explore/6a9e3f450000000012035730?xsec_token=YBRP8n8B9Mr2tpwMCQr7g62wvdIdcHtZYHJNZYZ0kA2hM=&xsec_source=app_note
2026-08-07,TCF备考,半年 0基础考出TCF B2（下）,说在开头 本篇适用于想半年快速拿到tcf B2考试成绩的人群 不适用于想能短期实际生活应用程度达到B2的人群 📍目录,295,426,14,47,图文,ecchoo,https://sns-na-i11.xhscdn.com/notes_pre_post/1040g3k8323imdh9174dg4a6q870l9p66ae83k30?imageView2/2/w/1440/format/webp&ap=5&sc=SRH_DTL&sign=733a9c134bacb3e66b03f4af64b62697&t=6aa54648,,6a75c8af00000000220101c7,YBjgYfevgt_CTbo1lkrzfyBTp9SKtAtQpsnAG3cnUySAg=,https://www.xiaohongshu.com/explore/6a75c8af00000000220101c7?xsec_token=YBjgYfevgt_CTbo1lkrzfyBTp9SKtAtQpsnAG3cnUySAg=&xsec_source=app_note
2026-05-11,法语移民,焦虑到失眠！加拿大移民怎么这么难啊,最近刷加拿大移民刷到失眠，越看越焦虑，感觉自己像个被政策抛弃的小可怜🥺 本来满心欢喜想走 BC 省留学移民，结果刷到,438,350,573,57,图文,一个咪,https://sns-na-i11.xhscdn.com/1040g2sg32013rm05jqj05pp1qv07dm27o2jmtqo?imageView2/2/w/1440/format/webp&ap=5&sc=SRH_DTL&sign=a7e10580cc2118a75068aa0a7593597f&t=6aa5466a,,6a0177320000000006036bb9,YB8DHKJPmNenH3dPSXYjcxbu5tX1v6SFIxhBb-Y0mJzZM=,https://www.xiaohongshu.com/explore/6a0177320000000006036bb9?xsec_token=YB8DHKJPmNenH3dPSXYjcxbu5tX1v6SFIxhBb-Y0mJzZM=&xsec_source=app_note
2026-04-14,法语移民,靠留学定居法国 但我劝普通人别轻易来…,我知道很多朋友关注我可能是看我一路学法语 在法国上学找实习找工作升级打怪… 我也总是分享巴黎生活的美好 主页那些阳光、街,582,257,174,60,图文,🎏hace viento,https://sns-na-i11.xhscdn.com/notes_uhdr/1040g3qg31uur2od3iq005n1a1a9hloci97dgiqo?imageView2/2/w/1440/format/webp&ap=5&sc=SRH_DTL&sign=4ad783c70ed3de1e66d91f682dcdb752&t=6aa5466a,,69de5cef000000001b020b1b,YBndDQkfQg4SwpHU2w8nVjl9bCXPDu3lU7tqlZd4FVXGM=,https://www.xiaohongshu.com/explore/69de5cef000000001b020b1b?xsec_token=YBndDQkfQg4SwpHU2w8nVjl9bCXPDu3lU7tqlZd4FVXGM=&xsec_source=app_note
2026-06-14,TCF Canada/TCF备考,TCF Canada 零基础自学7个月首考B2经验分享,个人经验，欢迎交流#法语  #法语零基础学习  #TCF  #tcfca,310,318,18,39,图文,Jojo,https://sns-na-i11.xhscdn.com/1040g008321crgqdgmu605po3ci07cedg45ad0i8?imageView2/2/w/1440/format/webp&ap=5&sc=SRH_DTL&sign=f12dcc8dc91b5a9405e5b94052a33bb3&t=6aa54543,,6a2e42510000000022020731,YBGGjjRuAI8Ockg71d7wIF1FT0URL2jouMtR5qW2cHank=,https://www.xiaohongshu.com/explore/6a2e42510000000022020731?xsec_token=YBGGjjRuAI8Ockg71d7wIF1FT0URL2jouMtR5qW2cHank=&xsec_source=app_note
2026-08-01,法语移民,什么人适合DIY加拿大EE法语项目？一篇讲清！,如果你符合下面几点，其实适合自己DIY： ✅ 大专及以上学历（学历越高，分数越高） ✅ 至少1年符合要求的全职工作经验,293,321,32,100,图文,嘎嘣脆大香蕉,https://sns-na-i11.xhscdn.com/notes_pre_post/1040g3k0323aqnve9g2e05pnm41mncbdrgm2gmjo?imageView2/2/w/1440/format/webp&ap=5&sc=SRH_DTL&sign=07c7dda378e0eecb5e3a864d9a87b193&t=6aa54672,,6a6de6f0000000000502bbef,YBxMyt-fZSZZjW9z3HQbolrpA87xyTfKxZTrcRj2JP_jw=,https://www.xiaohongshu.com/explore/6a6de6f0000000000502bbef?xsec_token=YBxMyt-fZSZZjW9z3HQbolrpA87xyTfKxZTrcRj2JP_jw=&xsec_source=app_note
2026-08-19,TCF备考,TCF Canada备考工具｜网站篇,口语和写作题库： 1. Réussir：https://reussir-tcfcanada.com 2. Formati,179,370,21,57,图文,没想好起什么名字15566,https://sns-na-i11.xhscdn.com/notes_pre_post/1040g3k83242aft5t7u0g5ogpssm0kc4s4ep3ue0?imageView2/2/w/1440/format/webp&ap=5&sc=SRH_DTL&sign=c16cffbc7030de5895cce1e638976a2d&t=6aa54648,,6a85cb390000000025010a90,YB295syU8ErOrcZuXIJCJOjlE7rVFw-qLX_zZIWjvX2Fg=,https://www.xiaohongshu.com/explore/6a85cb390000000025010a90?xsec_token=YB295syU8ErOrcZuXIJCJOjlE7rVFw-qLX_zZIWjvX2Fg=&xsec_source=app_note
2026-04-15,TCF备考,个人TCF备考经验大傻子版,TCF CA 备考经验 如果有这几个问题以外的疑惑，可以问我。🫡🫡 #法语  #tcfca备考,243,267,58,45,图文,大山楂丸,https://sns-na-i11.xhscdn.com/notes_pre_post/1040g3k031uvikr0hjq0049lton4me69pc4bp9s8?imageView2/2/w/1440/format/webp&ap=5&sc=SRH_DTL&sign=e5a1f3006bd80460a9f0db4b1cf52530&t=6aa54648,,69df22a0000000001a0368ad,YBkl2YclZd9hrsdafhybtCkEyGRn3y1zz-VC-istOyi3E=,https://www.xiaohongshu.com/explore/69df22a0000000001a0368ad?xsec_token=YBkl2YclZd9hrsdafhybtCkEyGRn3y1zz-VC-istOyi3E=&xsec_source=app_note
2026-08-01,法语移民,申请法语 ee，要考到多少分？我告诉你,很多人看到“法语移民”，会以为重点只有法语。但实际大部分中国申请人的策略是： 🇫🇷法语 = 副申语言，强力加分项目,228,263,13,24,图文,嘎嘣脆大香蕉,https://sns-na-i11.xhscdn.com/notes_pre_post/1040g3k0323aqnve9g2eg5pnm41mncbdrqkji5bg?imageView2/2/w/1440/format/webp&ap=5&sc=SRH_DTL&sign=e24249c6f465109cd651b7162474c8cd&t=6aa54672,,6a6dea570000000005030097,YBxMyt-fZSZZjW9z3HQbolrvmCGFEs8tZkHjRJT46jgCI=,https://www.xiaohongshu.com/explore/6a6dea570000000005030097?xsec_token=YBxMyt-fZSZZjW9z3HQbolrvmCGFEs8tZkHjRJT46jgCI=&xsec_source=app_note
2026-04-16,TEF Canada/法语移民,我被捞啦！！加拿大ee法语通道上岸！,“这是真的吗？” 北京时间4.16凌晨12点多，刷到法语通道捞人的消息，感觉像做梦一样。 2025.2月初：了解法语通道,358,184,79,148,图文,麦麦,https://sns-na-i11.xhscdn.com/1040g2sg31v0o81ahise05o5d01j09fr8mildqvo?imageView2/2/w/1440/format/webp&ap=5&sc=SRH_DTL&sign=27e3a63cb8a57d24eab01fa3863efc8a&t=6aa5462c,,69e054a30000000021006fed,YBYKymZoBxN3P7AUnnqLByMTqGmkiNSbreKGEeII7_T3U=,https://www.xiaohongshu.com/explore/69e054a30000000021006fed?xsec_token=YBYKymZoBxN3P7AUnnqLByMTqGmkiNSbreKGEeII7_T3U=&xsec_source=app_note
2026-09-06,TEF Canada/法语移民,学法语狗一样的一年回忆录 劝退帖,一套house的留学成本摆在那，回去也是不甘心，留又留不下，嫁人拿身份这事，主包一辈子抬不起头… 为了PR学法语，从零基,258,234,31,34,图文,一朵风中摇曳的泡面头,https://sns-na-i11.xhscdn.com/oss-ae/notes_pre_post/1040g3v8324osq61vj8305nldgjbg8f5kkbkr45g?imageView2/2/w/1440/format/webp&ap=5&sc=SRH_DTL&sign=1ce85148544f5ca524d962f50b468c63&t=6aa5462c,,6a9ce3a7000000000e03f000,YBlpU2Gm_alx2bg7EDSvqKbwhue_KrNrDuFpx6-hLi8O0=,https://www.xiaohongshu.com/explore/6a9ce3a7000000000e03f000?xsec_token=YBlpU2Gm_alx2bg7EDSvqKbwhue_KrNrDuFpx6-hLi8O0=&xsec_source=app_note
2026-08-16,法语移民,学法语的山里人，超酷的好吗,没有学法语的这段刻骨铭心的心路历程，就没有小红书上全世界这么多关心我的朋友。 更是体验了一把博主专属“被催更”的快乐,373,174,27,26,图文,momo,https://sns-na-i11.xhscdn.com/notes_pre_post/1040g3k0323tootcgn4005ogueq7k120331m9fm0?imageView2/2/w/1440/format/webp&ap=5&sc=SRH_DTL&sign=3d2bf9d6be1fa28df15751b0915c5811&t=6aa5466a,,6a81268a0000000025003d46,YBlBDRUrfYfdsyEiwBlZf8m9uSFMfYl7B1kbHdaATqASA=,https://www.xiaohongshu.com/explore/6a81268a0000000025003d46?xsec_token=YBlBDRUrfYfdsyEiwBlZf8m9uSFMfYl7B1kbHdaATqASA=&xsec_source=app_note
